"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q52,Q10,Q82,Q46,Q79,Q19,Q34,Q16,Q25,Q28,Q49,Q67,Q61,Q1,Q73,Q70,Q7,Q76,Q64,Q88,Q31,Q4,Q43,Q58,Q13,Q40,Q37,Q85,Q55,Q91,Q22,Q94";"SOT-23";32;"2N7002E";;;
2;"Y1,X1,X2,Y2";"PinHeader_1x16_P2.54mm_Vertical";4;"Conn_01x16";;;
3;"Q77,Q81,Q24,Q57,Q44,Q78,Q87,Q54,Q5,Q93,Q51,Q38,Q41,Q11,Q92,Q80,Q60,Q20,Q66,Q53,Q86,Q23,Q35,Q3,Q72,Q36,Q48,Q27,Q18,Q83,Q33,Q14,Q2,Q30,Q21,Q45,Q90,Q89,Q84,Q96,Q9,Q6,Q71,Q17,Q56,Q32,Q8,Q47,Q29,Q15,Q63,Q75,Q68,Q26,Q69,Q59,Q12,Q50,Q65,Q74,Q95,Q62,Q42,Q39";"SOT65P210X110-6N";64;"DMC2710UDW-7";;;
4;"R14,R10,R26,R32,R27,R19,R17,R31,R24,R30,R23,R22,R18,R12,R25,R3,R6,R20,R7,R2,R9,R8,R4,R34,R28,R5,R29,R1,R33,R21,R11,R16,R13,R15";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";34;"240";;;
5;"MADX1,MADY2,MADX2,MADY1";"PinHeader_1x08_P2.54mm_Vertical";4;"Conn_01x08";;;
6;"PWR1,DAT1";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
7;"C29,C2,C8,C32,C23,C28,C15,C10,C16,C19,C21,C17,C20,C5,C7,C6,C30,C11,C27,C4,C12,C31,C22,C1,C24,C14,C18,C3,C26,C13,C25,C9";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";32;"10u";;;
